2025-01-11 23:56:30,697 - epoch: 15 AUC: 0.8941764210002625 AUPR: 0.8942283067967594 params: {'batch_user': 128, 'd': 32, 'decay': 1e-06, 'dropout': 0.0, 'epoch_no': 120, 'l': 2, 'lambda_1': 0.0001, 'lambda_2': 1e-05, 'lr': 0.01, 'max_samp': 30, 'svd_q': 3, 'temp': 1}
2025-01-11 23:56:42,035 - epoch: 10 AUC: 0.8903622116886168 AUPR: 0.8995300371084248 params: {'batch_user': 128, 'd': 32, 'decay': 1e-06, 'dropout': 0.0, 'epoch_no': 120, 'l': 2, 'lambda_1': 0.0001, 'lambda_2': 1e-05, 'lr': 0.01, 'max_samp': 30, 'svd_q': 3, 'temp': 9}
2025-01-11 23:57:02,030 - epoch: 25 AUC: 0.9020950512016143 AUPR: 0.9054391951917112 params: {'batch_user': 128, 'd': 32, 'decay': 1e-06, 'dropout': 0.0, 'epoch_no': 120, 'l': 2, 'lambda_1': 0.0001, 'lambda_2': 1e-05, 'lr': 0.01, 'max_samp': 30, 'svd_q': 7, 'temp': 3}
2025-01-12 00:00:52,355 - epoch: 95 AUC: 0.8959418747667942 AUPR: 0.9121373351819754 params: {'batch_user': 128, 'd': 32, 'decay': 1e-06, 'dropout': 0.0, 'epoch_no': 120, 'l': 2, 'lambda_1': 0.0001, 'lambda_2': 1e-05, 'lr': 0.001, 'max_samp': 30, 'svd_q': 7, 'temp': 7}
2025-01-12 00:07:43,058 - epoch: 30 AUC: 0.8990668315805473 AUPR: 0.9121995734743915 params: {'batch_user': 128, 'd': 32, 'decay': 1e-06, 'dropout': 0.0, 'epoch_no': 120, 'l': 2, 'lambda_1': 0.0001, 'lambda_2': 0.0001, 'lr': 0.01, 'max_samp': 100, 'svd_q': 9, 'temp': 5}
2025-01-12 00:08:00,150 - epoch: 105 AUC: 0.9020086787081438 AUPR: 0.9116003732092779 params: {'batch_user': 128, 'd': 32, 'decay': 1e-06, 'dropout': 0.0, 'epoch_no': 120, 'l': 2, 'lambda_1': 0.0001, 'lambda_2': 0.0001, 'lr': 0.001, 'max_samp': 30, 'svd_q': 3, 'temp': 7}
2025-01-12 00:11:32,953 - epoch: 105 AUC: 0.9021676040961291 AUPR: 0.9120200245554737 params: {'batch_user': 128, 'd': 32, 'decay': 1e-06, 'dropout': 0.0, 'epoch_no': 120, 'l': 2, 'lambda_1': 0.0001, 'lambda_2': 0.0001, 'lr': 0.001, 'max_samp': 100, 'svd_q': 7, 'temp': 7}
2025-01-12 00:12:47,621 - epoch: 35 AUC: 0.9043994693274001 AUPR: 0.9124521907237932 params: {'batch_user': 128, 'd': 32, 'decay': 1e-06, 'dropout': 0.0, 'epoch_no': 120, 'l': 2, 'lambda_1': 0.0001, 'lambda_2': 0.001, 'lr': 0.01, 'max_samp': 30, 'svd_q': 9, 'temp': 9}
-----

2025-01-12 00:32:32,811 - epoch: 20 AUC: 0.8865721866751427 AUPR: 0.8923705411579136 params: {'batch_user': 128, 'd': 32, 'dropout': 0.0, 'epoch_no': 120, 'l': 2, 'lambda_1': 0.0001, 'lambda_2': 1e-05, 'lr': 0.01, 'svd_q': 3, 'temp': 1}
2025-01-12 00:32:41,867 - epoch: 25 AUC: 0.894442448280151 AUPR: 0.8873979768310335 params: {'batch_user': 128, 'd': 32, 'dropout': 0.0, 'epoch_no': 120, 'l': 2, 'lambda_1': 0.0001, 'lambda_2': 1e-05, 'lr': 0.01, 'svd_q': 3, 'temp': 7}
2025-01-12 00:32:44,907 - epoch: 20 AUC: 0.8954944652506185 AUPR: 0.8996623643020283 params: {'batch_user': 128, 'd': 32, 'dropout': 0.0, 'epoch_no': 120, 'l': 2, 'lambda_1': 0.0001, 'lambda_2': 1e-05, 'lr': 0.01, 'svd_q': 3, 'temp': 9}
2025-01-12 00:32:50,535 - epoch: 15 AUC: 0.9008374676966875 AUPR: 0.9060522534922248 params: {'batch_user': 128, 'd': 32, 'dropout': 0.0, 'epoch_no': 120, 'l': 2, 'lambda_1': 0.0001, 'lambda_2': 1e-05, 'lr': 0.01, 'svd_q': 5, 'temp': 3}
2025-01-12 00:34:16,108 - epoch: 80 AUC: 0.8965222979229143 AUPR: 0.9120671938091436 params: {'batch_user': 128, 'd': 32, 'dropout': 0.0, 'epoch_no': 120, 'l': 2, 'lambda_1': 0.0001, 'lambda_2': 1e-05, 'lr': 0.001, 'svd_q': 9, 'temp': 1}
2025-01-12 00:52:25,381 - epoch: 110 AUC: 0.9019637650115393 AUPR: 0.9067361940484178 params: {'batch_user': 128, 'd': 32, 'dropout': 0.0, 'epoch_no': 120, 'l': 2, 'lambda_1': 0.01, 'lambda_2': 0.001, 'lr': 0.01, 'svd_q': 7, 'temp': 1}
2025-01-12 01:00:22,841 - epoch: 15 AUC: 0.8985295946711627 AUPR: 0.9131009002263838 params: {'batch_user': 128, 'd': 32, 'dropout': 0.0, 'epoch_no': 120, 'l': 2, 'lambda_1': 0.1, 'lambda_2': 0.001, 'lr': 0.01, 'svd_q': 9, 'temp': 3}
2025-01-12 06:10:45,644 - epoch: 35 AUC: 0.8969127015933996 AUPR: 0.9151484674737765 params: {'batch_user': 128, 'd': 32, 'dropout': 0.2, 'epoch_no': 120, 'l': 4, 'lambda_1': 0.001, 'lambda_2': 0.001, 'lr': 0.01, 'svd_q': 9, 'temp': 3}
2025-01-12 07:15:35,946 - epoch: 20 AUC: 0.9012572380149528 AUPR: 0.9165624762777934 params: {'batch_user': 128, 'd': 32, 'dropout': 0.3, 'epoch_no': 120, 'l': 2, 'lambda_1': 0.001, 'lambda_2': 0.0001, 'lr': 0.01, 'svd_q': 3, 'temp': 7}
2025-01-12 08:23:06,712 - epoch: 30 AUC: 0.8851936816793577 AUPR: 0.8812065305159473 params: {'batch_user': 128, 'd': 32, 'dropout': 0.0, 'epoch_no': 120, 'l': 2, 'lambda_1': 0.0001, 'lambda_2': 1e-05, 'lr': 0.01, 'svd_q': 3, 'temp': 1}
2025-01-12 08:23:09,503 - epoch: 25 AUC: 0.8909979132405578 AUPR: 0.8776944753013534 params: {'batch_user': 128, 'd': 32, 'dropout': 0.0, 'epoch_no': 120, 'l': 2, 'lambda_1': 0.0001, 'lambda_2': 1e-05, 'lr': 0.01, 'svd_q': 3, 'temp': 3}
